Time,Country Name,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS]
2000,Sub-Saharan Africa,50.4502139124023,5.09810570784398,22.5917860160246,44.6736806272419
2000,South Asia,62.8239828121193,3.71669897056981,18.2505684740431,81.6696889311106
2000,North America,76.8819963377772,12.2531359612827,99.8804454495519,
2000,Middle East & North Africa,69.8872567466565,4.49516267220131,81.5205859296089,87.5383073905537
2000,Latin America & Caribbean,71.687389574031,6.57940306702633,73.9800446040955,90.5467059823895
2000,Europe & Central Asia,73.0293765410743,8.02800198465301,93.4300188779279,96.6822005957162
2000,East Asia & Pacific,71.1719187711374,6.18459473306487,60.6547059338201,81.2636920820163
2001,Sub-Saharan Africa,50.7500236632558,5.22616894302549,22.9330713687459,45.54267883666
2001,South Asia,63.2289921234106,3.88358822975127,20.6125966589754,82.1372879691036
2001,North America,77.0824100401778,12.9212778291677,99.880422320528,
2001,Middle East & North Africa,70.1860594030362,4.8400168024702,81.9489346285117,87.8504304832618
2001,Latin America & Caribbean,71.9931240294382,6.70631356059966,74.7593686172488,90.9618226036916
2001,Europe & Central Asia,73.2934189488361,8.21994748518479,93.0928389050855,96.7650836331604
2001,East Asia & Pacific,71.4817171620473,6.21820498676364,61.4700176805113,81.6953725080797
2002,Sub-Saharan Africa,51.1481645391025,4.71674635228945,23.3877832748924,46.4702569379159
2002,South Asia,63.6237710618268,3.94282572386308,23.0887470442055,82.6127342576685
2002,North America,77.1878181356609,13.674566000033,99.8802427700625,
2002,Middle East & North Africa,70.4700171440522,4.74711507756773,82.5836134629593,88.1713061685527
2002,Latin America & Caribbean,72.2876337880566,6.53031865075331,75.5299578709766,91.3806120862948
2002,Europe & Central Asia,73.4080027130243,8.47597567650007,93.303304353218,96.879008474609
2002,East Asia & Pacific,71.7747648581386,6.18296931951702,63.288672783001,82.8916018082662
2003,Sub-Saharan Africa,51.642123874248,5.56526630356055,23.8494835190305,47.3972455983515
2003,South Asia,64.0113964571902,3.71659402645526,25.5750369184966,83.0826534657376
2003,North America,77.3028107705753,14.1244141111386,99.8800646810606,
2003,Middle East & North Africa,70.7515444271799,4.61815984586939,83.103197673737,88.5607720792946
2003,Latin America & Caribbean,72.5622615412367,6.72376219550523,76.2935635468491,91.7919836939071
2003,Europe & Central Asia,73.5159924830106,8.6640820668985,93.5110464062723,96.9945476608175
2003,East Asia & Pacific,72.0675282474942,6.27953457259776,64.9464706763328,83.6922191811553
2004,Sub-Saharan Africa,52.2247720188521,5.57144774874079,24.3149705880001,48.3418698665919
2004,South Asia,64.3951878388299,3.69299437032,28.0716720709421,83.5516446678213
2004,North America,77.7244879766956,14.1824200198068,99.8798876210653,
2004,Middle East & North Africa,71.0375708131632,4.36395650313822,83.6351424010701,88.9514288413982
2004,Latin America & Caribbean,72.8191972031776,6.74212749496978,77.0516994600376,92.1909372005434
2004,Europe & Central Asia,73.9591213601675,8.64781396889125,93.726397071713,97.0815072137549
2004,East Asia & Pacific,72.3611445681635,6.25080926064923,66.5876958588359,84.4743662753507
2005,Sub-Saharan Africa,52.886428261213,5.38147224658429,24.8368784441633,49.356241183511
2005,South Asia,64.7831708452549,3.619945144873,30.5859862313051,83.9933766197669
2005,North America,77.7540822503293,14.1482065459098,99.8742680310121,98.8913728371207
2005,Middle East & North Africa,71.3100305503463,4.10546748567369,84.2208623045581,89.359240115686
2005,Latin America & Caribbean,73.0605266579857,6.73897811734812,78.5190519044764,92.5842803525531
2005,Europe & Central Asia,74.1211011288237,8.63043339282677,93.9522612149719,97.2136067208522
2005,East Asia & Pacific,72.6246207487179,6.20064047722659,68.2141055817412,85.23626938869
2006,Sub-Saharan Africa,53.6142094019721,5.23656666166434,25.3569251300354,50.3769765896995
2006,South Asia,65.1799328896904,3.54219171352802,33.1118542449479,84.459845833771
2006,North America,77.9493926735038,14.2351722190324,99.8686434726737,98.8978282218382
2006,Middle East & North Africa,71.584939952882,4.02576565015092,84.8106330832155,89.7733973010901
2006,Latin America & Caribbean,73.2874586622882,6.89734806782598,79.2673414336397,92.971967656847
2006,Europe & Central Asia,74.6188635752197,8.56466607357257,94.1929353072574,97.2995434152656
2006,East Asia & Pacific,72.9216443010547,6.00174747057136,69.8214356244639,85.972109088611
2007,Sub-Saharan Africa,54.3854324049332,5.10420977660955,25.8697668179879,51.3816609868539
2007,South Asia,65.5877135716036,3.48099537248228,35.6496670408252,84.9314100709527
2007,North America,78.2395484709121,14.4130483748356,99.8630666130897,98.9043258743132
2007,Middle East & North Africa,71.8413034065733,4.06448610882416,85.4018610205889,90.1868771055656
2007,Latin America & Caribbean,73.5017852386201,7.03898556653301,80.0196331545653,93.3542616249358
2007,Europe & Central Asia,74.9769817849929,8.46421271160499,94.4382785185201,97.3870225149306
2007,East Asia & Pacific,73.2009338754334,5.79227652160224,71.4541844889919,86.6877589001066
2008,Sub-Saharan Africa,55.1744565424915,4.89295012549085,26.4173998243598,52.4358924376456
2008,South Asia,66.0052497729797,3.45440703013298,38.1979314744907,85.4012638375552
2008,North America,78.3009807985721,14.7432232836108,99.8574554454551,98.9107959702952
